"아굴절, 亞掘折, sub-refraction",,굴절 기울기가 표준 굴절 기울기보다 큰 굴절. 부분 굴절이라고도 한다. 이로 인해 전파 통로의 곡률 반지름은 표준 굴절의 경우보다 커지게 된다. →굴절률.
"인공 신경망, 人工神經網, Artificial Neural Network, ANN",동의어 : 신경망(Neural Network),"사람 또는 동물 두뇌의 신경망에 착안하여 구현된 컴퓨팅 시스템의 총칭. 기계 학습(machine learning)의 세부 방법론 중 하나로, 신경 세포인 뉴런(neuron)이 여러 개 연결된 망의 형태이다. 구조 및 기능에 따라 여러 종류로 구분되며, 가장 일반적인 인공 신경망은 한 개의 입력층과 출력층 사이에 다수의 은닉층(hidden layer)이 있는 다층 퍼셉트론(multi-layer perceptron)이다. 인공 신경망은 하드웨어로 구현될 수도 있으나, 주로 컴퓨터 소프트웨어로 구현된다. 인공 신경망은 기초 컴퓨팅 단위인 뉴런 여러 개가 가중된 링크(weighted link)로 연결된 형태이다. 가중된 링크(weighted link)는 주어진 환경에 적응할 수 있도록 가중치를 조정할 수 있다. 인공 신경망은 자기 조직화 지도(SOM: Self-Organizing Map), 순환 신경망(RNN: Recurrent Neural Network), 콘볼루션 신경망(CNN: Convolutional Neural Network)과 같은 다양한 모델에 대한 총칭으로, 그 종류는 수십 가지에 이른다. 최초의 인공 신경망 모델은 1943년 워렌 맥컬로치(Warren McCulloch)와 월터 피츠(Walter Pitts)에 의해 제안되었으며, 1958년 프랑크 로젠블라트(Frank Rosenblatt)는 지도 학습(supervised learning)이 가능한 퍼셉트론(perceptron) 모델을 개발하였다. 당시 컴퓨터의 낮은 성능과 단층 퍼셉트론(single-layer perceptron)의 한계 등으로 인해 쇠퇴했던 인공 신경망에 대한 연구는 1970년대 군집 분석을 위한 자기 조직화 지도 등의 모델이 연구되며 그 명맥을 이었고, 1986년 다층 퍼셉트론(multi-layer perceptron)의 지도 학습을 위한 역전파 알고리즘(backpropagation algorithm)이 재발견되며, 다시 활성화되었다. 2010년대에는 컴퓨터 하드웨어 및 학습 알고리즘의 발달로 수십 개의 은닉층(hidden layer)이 있는 심층 신경망(DNN: Deep Neural Network)이 널리 사용되게 되었다. 바둑을 비롯해 이미지 및 자연어 처리, 음성 인식 등의 분야에서 기존의 기계 학습 방법의 성능을 뛰어 넘는 결과를 보이고 있다."
"인공 언어, 人工言語, artificial language",,"베이식이나 파스칼과 같은 프로그래밍 언어를 가리키는 말. 이는 한국어, 영어 등 사람이 일상적으로 쓰는 언어를 자연 언어라고 하는 것과 대비하여 사용되는 말이다."
"인공위성, 人工衛星, artificial satellite",,"물체에 초속 7.9~11.2km의 속도를 부여하여 지구 주위를 계속 회전하도록 한 인공적인 위성. 일반적으로 다단계 로켓으로 발사, 100~수백 km의 고도에서 수평 방향으로 가속하여 지구 주위를 도는 궤도로 진입된다. 세계 최초의 인공위성은 1957년 10월 4일 구소련이 발사한 스푸트니크 1호(Sputnik 1)이다. 비행하는 궤도의 고도에 따라 정지 위성(geostationary satellite)과 이동 위성(orbiting satellite)으로 대별된다. 정지 위성은 적도 상공 약 3만 6,000km의 정지 궤도를 비행하는 위성이고, 이것 이외의 궤도를 비행하는 것은 이동 위성이다. 이동 위성은 대부분 정지 위성보다 낮은 궤도를 비행하는 저궤도/중궤도 위성이지만 우주 탐사 위성과 같이 정지 궤도 위성보다 높은 궤도를 비행하는 것도 있다. 사용 목적에 따라 통신 위성, 방송 위성, 기상 위성, 과학 위성, 항행 위성, 지구 관측 위성, 기술 개발 위성, 군사 위성 등으로 분류된다."
"인공 잡음, 人工雜音, manmade noise",,"인간이 사용하는 기계 기구에 의해 발생하는 일체의 잡음. 자동차의 스파크 플러그, 형광등이나 고주파 가열 장치, 초고압 송전선에서 나오는 코로나 등이 있다. 이러한 잡음의 전계 강도는 인구 밀집 지역이나 공업 지대에서 매우 크다."
"인공 지능, 人工知能, Artificial Intelligence, AI",,"컴퓨터로 구현한 지능 또는 이와 관련한 전산학의 연구 분야. 인공 지능은 사람 또는 동물의 지능이 컴퓨터로 모사될 정도로 세밀하고 정확하게 표현될 수 있다는 생각에 기반을 둔다. 지능에 대한 정의와 마찬가지로 인공 지능에 대해서도 다양한 정의가 존재한다. 인공 지능의 방법과 관련된 탐색, 논리 및 추론, 지식 표현, 계획, 학습 등 세부 분야에 대한 연구가 진행되고 있고, 자연어 처리, 컴퓨터 비전 및 패턴 인식, 로보틱스 등의 분야에서 응용된다. 최초의 인공 지능 연구로 1943년 워렌 맥컬로치(Warren McCulloch)와 월터 피츠(Walter Pitts)가 제안한 인공 뉴런(neuron) 모델을 들 수 있다. 인공 지능이라는 용어는 1956년 미국 다트머스 대학(Dartmouth College)에서 열린 워크숍 제안서에서 존 매카시(John McCarthy)가 처음 공식적으로 사용하였다. 1950-60년대 초창기의 인공 지능 연구는 정리(theorem) 증명과 게임 등의 분야에서 놀라운 성과를 거두었으나, 이후 과도한 기대에 따른 실망과 쇠퇴, 그리고 새로운 모델 및 이론의 개발 등이 반복되었다. 1970-80년대에는 전문가 시스템(expert system)에 대한 연구가 활발하였으며, 1980년대 중반 역전파 알고리즘(backpropagation algorithm)의 재발견 이후 인공 신경망(ANN: Artificial Neural Network) 모델에 대한 연구가 활발해졌다. 1990년대의 인공 지능 연구는 통계학, 정보 이론, 최적화 등 다양한 분야의 방법들을 활용하게 되었으며, 학습 이론 등 굳건한 이론적 토대를 갖추게 되었다. 2000년대 들어 대규모 데이터를 이용한 기계 학습이 활발히 연구되었으며, 체스, TV 퀴즈 쇼 참가 및 운전 등의 작업에 적용한 인공 지능 기술이 사람과 대등하거나 더 우수할 수 있음을 입증하였다. 2010년대 이후 컴퓨터 하드웨어와 학습 알고리즘의 발달은 심층 기계 학습(deep learning) 모델의 구축을 가능케 하였으며, 이에 기반해 바둑 및 사진상의 객체 인식(object recognition) 등에서 사람보다 뛰어난 컴퓨터 프로그램이 개발되었다. 현재 인공 지능 연구는 음성 인식, 바둑 등 특정한 분야에서 좋은 성과를 보이고 있으나, 아직 사람과 같은 지능을 갖추지는 못하고 있다. 예를 들어, 사람과 대화하며 동시에 바둑도 둘 수 있는 인공 지능 에이전트는 아직 개발되지 못하였다. 한편, 특정한 작업에만 적용될 수 있는 인공 지능 시스템이 아니라, 생각하고, 학습하고, 창조할 수 있는 범용 기계를 만드는 것을 목표로 하는 사람 수준(human-level) 인공 지능 또는 범용 인공 지능(AGI: Artificial General Intelligence)에 대한 연구도 이루어지고 있다.  * 참고: OECD 에서 정의한 AI system (2019, Recommendation of the Council on Artificial Intelligence)- An AI system is a machine-based system that can, for a given set of human-defined objectives, make predictions, recommendations, or decisions influencing real or virtual environments. AI systems are designed to operate with varying levels of autonomy.&nbsp;&nbsp;&nbsp;&nbsp;"
"인공 지능 마크업 언어, 人工知能-言語, Artificial Intelligence Markup Language, AIML",,"대화 로봇(chatbot)을 프로그래밍하기 위해 개발한 확장성 마크업 언어(XML) 기반의 비표준 마크업 언어. 프로그래머가 아닌 일반인, 특히 하이퍼텍스트 마크업 언어(HTML)를 아는 사람이 대화 로봇을 만드는데 쉬운 언어로서, 대화 로봇 언어들중 가장 간단하며, 기능의 추가 등으로 계속 발전해 나갈 언어이다. 이 언어를 이용한 것으로서 리처드 월리스(Richard Wallace)가 개발한 앨리스(ALICE: Artificial Linguistic Computer Entity), 혹은 앨리스봇, 앨리스 챗 로봇(chat robot)은 음성 명령을 인식하도록 만든 자바 언어로 된 웹 기반의 채팅 로봇이다."
"인공 초격자, 人工超格子, Artificial SuperLattices, ASL",,"원래 존재하는 격자 구조에 인공적으로 다시 새로운 격자 구조를 추가한 것. 인공 초격자는 1969년에 IBM 왓슨(Watson) 연구소의 에자키 박사(Dr. Esaki)에 의해 제창되었고 그 후 반도체의 성능을 높이기 위해 널리 사용되는 기술이다. 수 Å(옹스트롬: 1Å＝10-10 m＝0.1nm)으로부터 200Å 정도까지의 두께를 가진 다른 초박막 결정층을 반도체 기판 위에 적층한 것을 말한다. 반도체 칩으로 사용되는 재료를 결정학적 구조로 보면 대부분 단결정인데, 단결정에서 원자는 규칙적으로 배열돼 있으며 그 규칙적 배열을 결정 격자라 부른다. 갈륨비소(GaAs)와 알루미늄비소(AlAs)를 각 층마다 엇갈리게 적층시킨 초격자도 개발되었다."
"인공 현실감, 人工現實感, Artificial Reality, AR",,"컴퓨터가 만들어 내는 가상 세계로 사람이 끌려 들어가 마치 실제의 세계 속에 있는 듯한 느낌으로 행동할 수 있도록 하는 기술. 가상 공간(virtual space), 가상 현실감(virtual reality)이라고도 한다."
"인광성 유기 발광 장치, 燐光性有機發光裝置, Phosphorescent organic light emitting device, PHOLED",,"유기 발광 다이오드(OLED)를 만들기 위해 인광성 미소 분자 물질을 사용하는 디스플레이 장치. 유기 분자에 전류를 가하면 빛이 발생하는 이론적인 근거에 따른 것으로, 처음에는 휴대폰에 사용하기 위한 장치로 개발되었다. 그러나 미국에서 전국 전력 소모의 20%가 빌딩이나 공공 지역을 밝히는데 소모되고 있는 점을 감안하여, 기존의 백열등과 형광등을 대치할 효율적인 에너지 대책으로 인광성 기반의 발광원이 개발되었다."
"인근 사업소, 隣近事業所, neighborhood work center",,"지사나 지점을 설립할 필요는 있지만 많은 사람이 근무할 필요는 없고 특별한 기기(팩스, 인쇄 장치, 문서 처리기 등)가 필요하여 많은 투자가 요구될 때 이용되는 방법으로, 지점을 개설하고자 하는 지역에 거주하는 사람을 고용하고, 이웃 사무실을 상호 계약에 의해서 전일제, 시간제 또는 기기별로 공동으로 이용하여 업무를 처리하는 형태."
"인더스트리 4.0, Industry 4.0",,"독일 정부 정책으로, 제조업에 사이버 물리 시스템(CPS: Cyber Physical Systems) 기술을 융합하여 제조업의 경쟁력을 강화하기 위한 정책. &nbsp;제조업에 사이버 물리 시스템(CPS), 사물 인터넷(IoT: Internet of Things), 클라우드 컴퓨팅(cloud computing)을 적용하여 지능형 공장(smart factory)을 구축하는 것을 목표로 한다. Industry 4.0은 2012년 독일 정부의 핵심 미래 프로젝트로 도입되었으며, 핵심 분야는 센서, 로봇 산업, 혁신 제조 공정, 물류 및 정보 통신 기술(ICT) 분야이다. 우리나라도 2014년 ‘제조업 혁신 3.0 전략’을 발표하였고, 융합형 신제조업 창출, 주력 산업 핵심 역량 강화, 제조 혁신 기반 고도화 등 3대 전략을 중심으로 추진한다.&nbsp;"
"인덕터, Inductor",,"자심(core)에 감긴 도선에 전류가 흘러 발생되는 전자기 작용을 이용하는 수동 부품. 구리선과 같은 선재를 나선모양으로 감은 것으로 코일이라고도 한다. 선재의 감은 횟수가 증가할수록, 또 자심의 자성계수가 높을수록 인덕턴스(자기 유도 계수)가 높아진다. 인덕터는 주파수가 높아질수록 저항력(리액턴스)이 커지고, 상호 유도 작용을 하며, 커패시터와 함께 특정주파수에서 공진하는 성질이 있어 공진회로나 필터회로, 잡음 제거 회로, 신호의 입출력 정합 회로, 교류 차단 바이어스 회로 등 여러 면으로 사용된다."
"인덕턴스, Inductance, L",,"코일에 흐르는 전류의 변화에 의하여 전자기유도로 생기는 역기전력의 비율을 나타내는 양. 코일에 흘려주는 전류가 달라지면 코일을 통과하는 자속이 변화하여 그 자속에 의하여 자속의 변화를 감소시키는 방향으로 유도기전력이 발생한다. 이 현상을 자기 유도 작용이라 한다. 자기 유도 작용은 코일의 권수, 철심의 유무 등에 따라 다르다. 인덕턴스의 값은 L로 표시하고 단위는 헨리(H)이다."
"인덕턴스 동조, -同調, inductance tuning",,"인덕턴스와 정전 용량을 이용하여 어느 주파수에 동조시킬 경우 인덕턴스를 변화시켜 동조시키는 것. 인덕턴스를 변화시키는 데는 공심(空心)일 경우 탭 또는 자력 변화계 식으로 하며, 자심이 들어 있는 경우 자심의 위치를 변화시킴으로써 동조시키게 된다."
"인듐 주석 산화물, -朱錫酸化物, Indium Tin Oxide, ITO",,"매트릭스 방식으로 구동되는 PDP, LCD 등의 디스플레이에 사용되는 투명 전극 재료. 매트릭스 구동 방식은 기본적으로 다수의 가로 전극과 다수의 세로 전극을 모기장처럼 배치하고 가로 몇 번째, 세로 몇 번째 전극에 신호를 주어 그 위치의 셀이 발광하도록 하는 원리인데, 인듐 주석 산화물(ITO)은 투명하면서 전기도 잘 통해 투명 전극의 재료로 사용된다. 하지만 비용이 높고, 인듐의 자원이 제한되고, 부서지기 쉽고, 인듐 주석 산화물 레이어의 휨성이 부족하고, 레이어 증착에 높은 진공이 필요하다.&nbsp;"
